# Region type : patch outlet
# Faces       : 705
# Area        : 3.457440e-10
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0             
50            	4.397865e-14
100           	4.568981e-14
150           	4.575486e-14
200           	4.575733e-14
250           	4.575743e-14
300           	4.575743e-14
