time,flowRate_phi,area
0.0,-4.00589e-12,1.65778e-08
0.0001,-4.12136e-12,1.65778e-08
0.0002,-4.12712e-12,1.65778e-08
0.0003,-4.12742e-12,1.65778e-08
0.0004,-4.12744e-12,1.65778e-08
