# Region type : patch outlet
# Faces       : 144
# Area        : 1.411344e-10
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0             
5e-05         	7.254747e-15
0.0001        	7.258204e-15
0.00015       	7.258205e-15
0.0002        	7.258205e-15
