# Region type : patch outlet
# Faces       : 1936
# Area        : 1.185921e-10
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0             
1e-05         	1.054803e-15
2e-05         	1.833702e-15
3e-05         	2.441143e-15
4e-05         	2.926186e-15
5e-05         	3.317260e-15
