# Region type : patch outlet
# Faces       : 11874
# Area        : 9.067450e-08
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0             
1e-05         	1.878750e-12
2e-05         	2.426818e-12
3e-05         	2.656018e-12
4e-05         	2.764448e-12
5e-05         	2.818111e-12
